eval_root,wnid,class_name,is_erased_concept,num_images,top1_correct,top5_correct,top1_accuracy,top5_accuracy,target_confidence
IMN_blip_trd_esd_u_golf_ball_mia_blip,n01440764,tench,False,100,49,57,0.49,0.57,0.2061880121784634
IMN_blip_trd_esd_u_golf_ball_mia_blip,n02102040,english springer,False,100,65,71,0.65,0.71,0.21189973917600582
IMN_blip_trd_esd_u_golf_ball_mia_blip,n02979186,cassette player,False,100,0,10,0.0,0.1,0.007821690392156598
IMN_blip_trd_esd_u_golf_ball_mia_blip,n03000684,chain saw,False,100,18,33,0.18,0.33,0.04496349083841778
IMN_blip_trd_esd_u_golf_ball_mia_blip,n03028079,church,False,100,57,92,0.57,0.92,0.17872455111937596
IMN_blip_trd_esd_u_golf_ball_mia_blip,n03394916,french horn,False,100,39,52,0.39,0.52,0.10973601306817728
IMN_blip_trd_esd_u_golf_ball_mia_blip,n03417042,garbage truck,False,100,69,85,0.69,0.85,0.22299228055402637
IMN_blip_trd_esd_u_golf_ball_mia_blip,n03425413,gas pump,False,100,48,72,0.48,0.72,0.15099860952235758
IMN_blip_trd_esd_u_golf_ball_mia_blip,n03445777,golf ball,True,100,9,15,0.09,0.15,0.01691133171261754
IMN_blip_trd_esd_u_golf_ball_mia_blip,n03888257,parachute,False,60,3,5,0.05,0.08333333333333333,0.012486206294852309
